"Rep","Cov_sp_near","Cov_sp_med","Cov_sp_far","Cov_sp_all","Width_sp_near","Width_sp_med","Width_sp_far","Width_sp_all","Cov_unw_near","Cov_unw_med","Cov_unw_far","Cov_unw_all","Width_unw_all","Cov_kr_near","Cov_kr_med","Cov_kr_far","Cov_kr_all","Width_kr_all"
11,0.937397034596376,0.935114503816794,0.936974789915966,0.9364,0.152079306833011,0.152437018039179,0.152972467066785,0.152314288224892,0.943986820428336,0.931297709923664,0.92436974789916,0.9368,0.148544659210792,0.971169686985173,0.971374045801527,0.96218487394958,0.9704,0.140636095450472
12,0.916803953871499,0.916984732824427,0.890756302521008,0.9144,0.152930242005801,0.152950441861057,0.152681499499774,0.15291502949855,0.950576606260296,0.947519083969466,0.949579831932773,0.9492,0.161527390170599,0.99835255354201,0.999045801526718,0.995798319327731,0.9984,0.180236621489454
13,0.964579901153213,0.968511450381679,0.949579831932773,0.9648,0.176261093220543,0.176223894270236,0.17598547291691,0.176219260367668,0.93163097199341,0.916030534351145,0.915966386554622,0.9236,0.141766514977702,0.990939044481054,0.985687022900763,0.983193277310924,0.988,0.143656626859014
14,0.936573311367381,0.920801526717557,0.920168067226891,0.9284,0.176212761774528,0.176183810432471,0.176046603285829,0.176184807083813,0.944810543657331,0.936068702290076,0.907563025210084,0.9376,0.164360112813082,0.981054365733114,0.979961832061069,0.978991596638655,0.9804,0.13780822247578
15,0.908566721581549,0.889312977099237,0.794117647058823,0.8896,0.15173294614045,0.151666504912662,0.152315488559129,0.151760552016019,0.930807248764415,0.909351145038168,0.84453781512605,0.9136,0.182751519790259,0.977759472817133,0.975190839694656,0.970588235294118,0.976,0.158520280631831
16,0.883031301482702,0.898854961832061,0.882352941176471,0.8896,0.140972027878948,0.141009458511395,0.141096873076713,0.140999604062897,0.962108731466227,0.96469465648855,0.92436974789916,0.9596,0.177945219546274,0.990939044481054,0.987595419847328,0.991596638655462,0.9896,0.136684262054866
17,0.965403624382208,0.95706106870229,0.945378151260504,0.96,0.18011348992048,0.180256974833022,0.180244019459132,0.180186065207897,0.972817133443163,0.954198473282443,0.945378151260504,0.9624,0.180916466428526,0.99835255354201,0.998091603053435,0.995798319327731,0.998,0.169111393581691
18,0.92174629324547,0.918893129770992,0.936974789915966,0.922,0.143982614741116,0.144132512503036,0.143976212083589,0.144044842349917,0.971993410214168,0.962786259541985,0.966386554621849,0.9676,0.160813532913506,0.969522240527183,0.979007633587786,0.970588235294118,0.9736,0.120259182766375
19,0.917627677100494,0.933206106870229,0.949579831932773,0.9272,0.156005781154326,0.155988636026619,0.15585304922116,0.155984053836754,0.950576606260296,0.948473282442748,0.949579831932773,0.9496,0.147767001434251,0.980230642504119,0.981870229007634,0.974789915966387,0.9804,0.141021256909125
20,0.912685337726524,0.920801526717557,0.932773109243697,0.918,0.171198766789758,0.171607597986819,0.171436208648701,0.171392753292537,0.883855024711697,0.864503816793893,0.890756302521008,0.8764,0.138797072155328,0.997528830313015,0.998091603053435,1,0.998,0.165506117087266
